date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_unemployed_aged_16_and_over,total_in_employment_aged_16_to_64,total_economically_inactive_aged_16_to_64
2021-05-01,Mar 2021-May 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.5,74.6,20.2
2021-05-01,Mar 2021-May 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.5,0.3
2021-05-01,Mar 2021-May 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.2,-0.6,-0.2
2021-06-01,Apr 2021-Jun 2021,Total,London,Level,20100,number of people,7209874,321139,4581785,1233566
2021-06-01,Apr 2021-Jun 2021,Total,London,Change on quarter,20100,number of people,13423,-34316,23164,22886
2021-06-01,Apr 2021-Jun 2021,Total,London,Change on year,20100,number of people,51478,76369,-50545,15516
2021-06-01,Apr 2021-Jun 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.3,74.8,20.1
2021-06-01,Apr 2021-Jun 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.3,0.3
2021-06-01,Apr 2021-Jun 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.5,-1.2,0.2
2021-07-01,May 2021-Jul 2021,Total,London,Level,20100,number of people,7221821,306391,4596236,1244070
2021-07-01,May 2021-Jul 2021,Total,London,Change on quarter,20100,number of people,21963,-31891,38601,18084
2021-07-01,May 2021-Jul 2021,Total,London,Change on year,20100,number of people,52240,41015,-58309,55530
2021-07-01,May 2021-Jul 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6,74.9,20.3
2021-07-01,May 2021-Jul 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,0.4,0.2
2021-07-01,May 2021-Jul 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.8,-1.3,0.8
2021-08-01,Jun 2021-Aug 2021,Total,London,Level,20100,number of people,7226446,292386,4603302,1249909
2021-08-01,Jun 2021-Aug 2021,Total,London,Change on quarter,20100,number of people,21091,-37866,36044,14698
2021-08-01,Jun 2021-Aug 2021,Total,London,Change on year,20100,number of people,49817,21478,-34658,42108
2021-08-01,Jun 2021-Aug 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.8,75,20.4
2021-08-01,Jun 2021-Aug 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.4,0.2
2021-08-01,Jun 2021-Aug 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.9,0.6
2021-09-01,Jul 2021-Sep 2021,Total,London,Level,20100,number of people,7228921,283989,4613708,1252002
2021-09-01,Jul 2021-Sep 2021,Total,London,Change on quarter,20100,number of people,19047,-37150,31923,18436
2021-09-01,Jul 2021-Sep 2021,Total,London,Change on year,20100,number of people,47519,-26247,37587,14189
2021-09-01,Jul 2021-Sep 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.6,75.1,20.4
2021-09-01,Jul 2021-Sep 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.3,0.3
2021-09-01,Jul 2021-Sep 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.3,0.1
2021-10-01,Aug 2021-Oct 2021,Total,London,Level,20100,number of people,7230961,271154,4634924,1246721
2021-10-01,Aug 2021-Oct 2021,Total,London,Change on quarter,20100,number of people,9140,-35237,38688,2651
2021-10-01,Aug 2021-Oct 2021,Total,London,Change on year,20100,number of people,45682,-59689,60714,24870
2021-10-01,Aug 2021-Oct 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.4,75.5,20.3
2021-10-01,Aug 2021-Oct 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.5,0
2021-10-01,Aug 2021-Oct 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.2,0.6,0.3
2021-11-01,Sep 2021-Nov 2021,Total,London,Level,20100,number of people,7228851,269786,4642302,1237005
2021-11-01,Sep 2021-Nov 2021,Total,London,Change on quarter,20100,number of people,2405,-22600,39000,-12904
2021-11-01,Sep 2021-Nov 2021,Total,London,Change on year,20100,number of people,42010,-92670,69497,43612
2021-11-01,Sep 2021-Nov 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.3,75.6,20.1
2021-11-01,Sep 2021-Nov 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.6,-0.2
2021-11-01,Sep 2021-Nov 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,0.8,0.6
2021-12-01,Oct 2021-Dec 2021,Total,London,Level,20100,number of people,7227083,260512,4660351,1219261
2021-12-01,Oct 2021-Dec 2021,Total,London,Change on quarter,20100,number of people,-1838,-23477,46643,-32741
2021-12-01,Oct 2021-Dec 2021,Total,London,Change on year,20100,number of people,38374,-106104,115263,10791
2021-12-01,Oct 2021-Dec 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.1,75.9,19.9
2021-12-01,Oct 2021-Dec 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0.8,-0.5
2021-12-01,Oct 2021-Dec 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.1,1.6,0.1
2022-01-01,Nov 2021-Jan 2022,Total,London,Level,20100,number of people,7225736,251495,4645578,1242078
2022-01-01,Nov 2021-Jan 2022,Total,London,Change on quarter,20100,number of people,-5225,-19659,10654,-4643
2022-01-01,Nov 2021-Jan 2022,Total,London,Change on year,20100,number of people,35843,-127571,118056,28807
2022-01-01,Nov 2021-Jan 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5,75.7,20.2
2022-01-01,Nov 2021-Jan 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.2,-0.1
2022-01-01,Nov 2021-Jan 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.5,1.6,0.4
2022-02-01,Dec 2021-Feb 2022,Total,London,Level,20100,number of people,7227538,232119,4648864,1257357
2022-02-01,Dec 2021-Feb 2022,Total,London,Change on quarter,20100,number of people,-1313,-37667,6562,20352
2022-02-01,Dec 2021-Feb 2022,Total,London,Change on year,20100,number of people,34001,-140623,114787,41811
2022-02-01,Dec 2021-Feb 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,75.7,20.5
2022-02-01,Dec 2021-Feb 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.1,0.3
2022-02-01,Dec 2021-Feb 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.8,1.6,0.6
2022-03-01,Jan 2022-Mar 2022,Total,London,Level,20100,number of people,7230580,236626,4618816,1291306
2022-03-01,Jan 2022-Mar 2022,Total,London,Change on quarter,20100,number of people,3497,-23886,-41535,72045
2022-03-01,Jan 2022-Mar 2022,Total,London,Change on year,20100,number of people,34129,-118829,60195,80626
2022-03-01,Jan 2022-Mar 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.7,75.2,21
2022-03-01,Jan 2022-Mar 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.7,1.2
2022-03-01,Jan 2022-Mar 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-2.3,0.7,1.2
2022-04-01,Feb 2022-Apr 2022,Total,London,Level,20100,number of people,7232005,244905,4615559,1282623
2022-04-01,Feb 2022-Apr 2022,Total,London,Change on quarter,20100,number of people,6269,-6590,-30019,40545
2022-04-01,Feb 2022-Apr 2022,Total,London,Change on year,20100,number of people,32147,-93377,57924,56637
2022-04-01,Feb 2022-Apr 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.8,75.1,20.9
2022-04-01,Feb 2022-Apr 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.6,0.6
2022-04-01,Feb 2022-Apr 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,0.7,0.8
2022-05-01,Mar 2022-May 2022,Total,London,Level,20100,number of people,7235531,234491,4633903,1274331
2022-05-01,Mar 2022-May 2022,Total,London,Change on quarter,20100,number of people,7993,2372,-14961,16974
2022-05-01,Mar 2022-May 2022,Total,London,Change on year,20100,number of people,30176,-95761,66645,39120
2022-05-01,Mar 2022-May 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,75.4,20.7
2022-05-01,Mar 2022-May 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.3,0.3
2022-05-01,Mar 2022-May 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.9,0.8,0.6
2022-06-01,Apr 2022-Jun 2022,Total,London,Level,20100,number of people,7237907,230293,4606173,1309893
2022-06-01,Apr 2022-Jun 2022,Total,London,Change on quarter,20100,number of people,7327,-6333,-12643,18587
2022-06-01,Apr 2022-Jun 2022,Total,London,Change on year,20100,number of people,28033,-90846,24388,76327
2022-06-01,Apr 2022-Jun 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,74.9,21.3
2022-06-01,Apr 2022-Jun 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.3,0.3
2022-06-01,Apr 2022-Jun 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,0.1,1.2
2022-07-01,May 2022-Jul 2022,Total,London,Level,20100,number of people,7247868,212389,4605108,1335028
2022-07-01,May 2022-Jul 2022,Total,London,Change on quarter,20100,number of people,15863,-32516,-10451,52405
2022-07-01,May 2022-Jul 2022,Total,London,Change on year,20100,number of people,26047,-94002,8872,90958
2022-07-01,May 2022-Jul 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.2,74.8,21.7
2022-07-01,May 2022-Jul 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-0.3,0.8
2022-07-01,May 2022-Jul 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.8,-0.1,1.4
2022-08-01,Jun 2022-Aug 2022,Total,London,Level,20100,number of people,7252465,201432,4626064,1333704
2022-08-01,Jun 2022-Aug 2022,Total,London,Change on quarter,20100,number of people,16934,-33059,-7839,59373
2022-08-01,Jun 2022-Aug 2022,Total,London,Change on year,20100,number of people,26019,-90954,22762,83795
2022-08-01,Jun 2022-Aug 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4,75.1,21.7
2022-08-01,Jun 2022-Aug 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-0.3,0.9
2022-08-01,Jun 2022-Aug 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.7,0.1,1.3
2022-09-01,Jul 2022-Sep 2022,Total,London,Level,20100,number of people,7255381,211277,4638823,1319434
2022-09-01,Jul 2022-Sep 2022,Total,London,Change on quarter,20100,number of people,17474,-19016,32650,9541
2022-09-01,Jul 2022-Sep 2022,Total,London,Change on year,20100,number of people,26460,-72712,25115,67432
2022-09-01,Jul 2022-Sep 2022,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.2,75.3,21.4
2022-09-01,Jul 2022-Sep 2022,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.3,0.1
2022-09-01,Jul 2022-Sep 2022,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-1.4,0.1,1
